comissao,inscritos_nacionais,inscritos_estrangeiros,total_eleitores,eliminados,longitude_centroide,latitude_centroide
Boavista,8585,949,9534,74,-22.86,16.08
Brava,4545,35,4588,30,-24.69,14.85
Maio,4945,25,4970,48,-23.15,15.20
Mosteiros,6629,10,6639,19,-24.36,14.90
Paul,5249,0,5249,58,-25.02,17.12
Porto Novo,13659,65,13724,113,-25.08,17.05
Praia,90474,819,91335,572,-23.51,14.92
Ribeira Brava,5502,45,5506,44,-24.30,16.62
Ribeira Grande,12908,10,12918,114,-25.07,17.16
Ribeira Grande Santiago,6673,27,6700,86,-23.47,14.96
Sal,20315,84,21162,133,-22.93,16.75
Santa Catarina,26237,161,26398,416,-23.58,15.04
Santa Catarina do Fogo,4272,14,4273,18,-24.36,14.90
Santa Cruz,17469,89,17558,201,-23.55,15.12
São Domingos,9845,59,9850,110,-23.54,15.02
São Filipe,15791,18,15809,117,-24.51,14.89
São Lourenço dos Órgãos,5757,1,5757,86,-23.58,15.06
São Miguel,10183,13,10196,125,-23.47,15.18
São Salvador do Mundo,6041,0,6041,87,-23.60,15.08
São Vicente,54865,180,55045,418,-24.96,16.86
Tarrafal,11951,55,12006,153,-23.67,15.27
Tarrafal de São Nicolau,4230,12,4242,32,-24.36,16.58
